borough,date,total_outflow,total_inflow,visits_inside_home_borough,visits_from_outside_home_borough,visits_to_outside_boroughs
Bronx,2020-07-20,254836.0,218841.0,165011,53830,89825
Queens,2020-07-20,486015.0,420095.0,317727,102368,168288
Brooklyn,2020-07-20,458121.0,447770.0,343589,104181,114532
Staten Island,2020-07-27,179523.0,141506.0,125949,15557,53574
Manhattan,2020-07-27,161924.0,311037.0,112758,198279,49166
Bronx,2020-07-27,258885.0,223884.0,169445,54439,89440
Queens,2020-07-27,492490.0,429168.0,325574,103594,166916
Brooklyn,2020-07-27,469782.0,459709.0,355527,104182,114255
Staten Island,2020-08-03,180316.0,144486.0,127952,16534,52364
Manhattan,2020-08-03,159523.0,313198.0,109052,204146,50471
Bronx,2020-08-03,251471.0,219197.0,163894,55303,87577
Queens,2020-08-03,488268.0,425637.0,320573,105064,167695
Brooklyn,2020-08-03,461322.0,454049.0,346990,107059,114332
Staten Island,2020-08-10,179924.0,142718.0,126343,16375,53581
Manhattan,2020-08-10,145996.0,294317.0,98860,195457,47136
Bronx,2020-08-10,230942.0,198895.0,148246,50649,82696
Queens,2020-08-10,469418.0,406106.0,304718,101388,164700
Brooklyn,2020-08-10,433696.0,423345.0,322749,100596,110947
Staten Island,2020-08-17,187410.0,146702.0,129375,17327,58035
Manhattan,2020-08-17,159725.0,317467.0,108444,209023,51281
Bronx,2020-08-17,245646.0,210982.0,157550,53432,88096
Queens,2020-08-17,494297.0,426600.0,320593,106007,173704
Brooklyn,2020-08-17,457431.0,445209.0,338686,106523,118745
Staten Island,2020-08-24,173765.0,136268.0,120805,15463,52960
Manhattan,2020-08-24,145452.0,295081.0,98276,196805,47176
