zipcode,zip_population,income,uni_edu_per,w_per,b_per,a_per,h_per
11235,79132,57688.32981,0.355548868,0.737502085,0.024598089,0.14308621,0.082384244
11236,93877,71149.84595,0.199319386,0.061119689,0.91495443,0.028263227,0.074536798
11237,49896,55108.05443,0.184032207,0.389705608,0.134206249,0.061691879,0.584718715
11238,49262,90470.33676,0.542745077,0.511565426,0.419168324,0.06797225,0.118375279
11239,13393,31962.43035,0.136315986,0.301778541,0.587276936,0.0218771,0.178887479
11354,54878,47848.35195,0.148792248,0.192658078,0.024722566,0.567231003,0.141871989
11355,85871,44599.40942,0.128978305,0.119610765,0.027879098,0.6385924,0.130488034
11356,23438,60833.8062,0.134909762,0.376639176,0.017739227,0.293996416,0.397836761
11357,39150,88761.53865,0.28915387,0.696522631,0.006645083,0.232823959,0.15454705
11358,37546,72498.23425,0.23372519,0.414472807,0.010424333,0.45824426,0.17351124
11360,18884,85431.74697,0.428236232,0.633080862,0.01117634,0.328987344,0.095991792
11361,28606,85195.09406,0.301918304,0.463671153,0.035510977,0.395939313,0.125698455
11362,17823,92080.09745,0.353566964,0.518696067,0.009874881,0.453337373,0.081862313
11363,6988,100326.4242,0.366253005,0.56,0.017744705,0.288232398,0.150396108
11364,34555,86202.26724,0.340382029,0.425152453,0.028221097,0.552508928,0.102607611
11365,42252,69684.07662,0.262887106,0.31199458,0.084137556,0.470781809,0.195727279
11366,13532,85095.00116,0.3186376,0.471835058,0.052440659,0.454874372,0.087619125
11367,41047,61549.05948,0.238335664,0.539140351,0.092447731,0.249763929,0.178180452
11368,109931,53315.39314,0.078649034,0.372024488,0.107171926,0.120540539,0.746625829
11369,38615,54564.97103,0.103447624,0.235910941,0.141034986,0.111437835,0.531312728
11370,39688,68385.77674,0.116120515,0.26763082,0.016893041,0.174190435,0.250391529
11372,66636,58313.74692,0.200552659,0.511282505,0.028924605,0.183150114,0.519636983
11373,100820,52577.55324,0.173356715,0.196740676,0.019218518,0.441999008,0.366815166
11374,43600,62551.90544,0.388816881,0.506100069,0.04040805,0.317506835,0.151830803
11375,68733,85561.66002,0.50143605,0.642076892,0.029363886,0.295849927,0.167370055
11377,89830,60407.30426,0.211061961,0.469017633,0.025721507,0.354287777,0.363117344
11378,34981,73711.05162,0.206360053,0.759030674,0.017384323,0.113146394,0.334080529
11379,34821,84091.53403,0.268773011,0.847753339,0.010398007,0.117568565,0.222688636
11385,98592,72218.98229,0.198281585,0.88402413,0.024472117,0.072198992,0.480522629
