ID,Date,Cases_New
11234,2020-04-27,112
11231,2020-04-27,19
10314,2020-04-27,152
11233,2020-04-27,99
10005,2020-04-27,3
10452,2020-04-27,176
11106,2020-04-27,47
11692,2020-04-27,45
10451,2020-04-27,95
11232,2020-04-27,31
11230,2020-04-27,146
10306,2020-04-27,65
11109,2020-04-27,2
10454,2020-04-27,71
10002,2020-04-27,62
10009,2020-04-27,26
11201,2020-04-27,35
10001,2020-04-27,14
11228,2020-04-27,31
11435,2020-04-27,116
11239,2020-04-27,32
10307,2020-04-27,12
10455,2020-04-27,105
11104,2020-04-27,32
11238,2020-04-27,41
10308,2020-04-27,17
10007,2020-04-27,4
11229,2020-04-27,78
11237,2020-04-27,89
11436,2020-04-27,36
10309,2020-04-27,26
11236,2020-04-27,148
11428,2020-04-27,41
10459,2020-04-27,118
11372,2020-04-27,167
10037,2020-04-27,29
10065,2020-04-27,13
11427,2020-04-27,32
10462,2020-04-27,152
11004,2020-04-27,43
10464,2020-04-27,2
10003,2020-04-27,21
11423,2020-04-27,69
11367,2020-04-27,69
10038,2020-04-27,20
11220,2020-04-27,108
10016,2020-04-27,44
11218,2020-04-27,106
10044,2020-04-27,26
11206,2020-04-27,114
11368,2020-04-27,357
11219,2020-04-27,186
10040,2020-04-27,104
11370,2020-04-27,128
10461,2020-04-27,146
10039,2020-04-27,32
11426,2020-04-27,30
10017,2020-04-27,3
10004,2020-04-27,2
10463,2020-04-27,302
10018,2020-04-27,9
11373,2020-04-27,230
11369,2020-04-27,113
10069,2020-04-27,0
11221,2020-04-27,77
11366,2020-04-27,14
11101,2020-04-27,40
10465,2020-04-27,72
11374,2020-04-27,43
10036,2020-04-27,19
10014,2020-04-27,17
11365,2020-04-27,60
11416,2020-04-27,64
11217,2020-04-27,41
11205,2020-04-27,44
11422,2020-04-27,60
10034,2020-05-04,27
11415,2020-05-04,26
11238,2020-05-04,35
11370,2020-05-04,62
10308,2020-05-04,16
10465,2020-05-04,54
11218,2020-05-04,72
10027,2020-05-04,58
10466,2020-05-04,66
11413,2020-05-04,52
11211,2020-05-04,98
10455,2020-05-04,54
10035,2020-05-04,48
10307,2020-05-04,6
11228,2020-05-04,18
10451,2020-05-04,49
11232,2020-05-04,24
11239,2020-05-04,24
10039,2020-05-04,21
10036,2020-05-04,14
11229,2020-05-04,89
10025,2020-05-04,40
11414,2020-05-04,31
11217,2020-05-04,41
10312,2020-05-04,35
10453,2020-05-04,123
11373,2020-05-04,122
10037,2020-05-04,53
11372,2020-05-04,123
10026,2020-05-04,31
11235,2020-05-04,121
10471,2020-05-04,21
11230,2020-05-04,101
10310,2020-05-04,22
11237,2020-05-04,43
11231,2020-05-04,14
10464,2020-05-04,1
10314,2020-05-04,62
11236,2020-05-04,137
11233,2020-05-04,52
10454,2020-05-04,54
10309,2020-05-04,14
11375,2020-05-04,40
11216,2020-05-04,39
10452,2020-05-04,84
10038,2020-05-04,6
11234,2020-05-04,75
11210,2020-05-04,64
10461,2020-05-04,52
10028,2020-05-04,13
10002,2020-05-04,41
10065,2020-05-04,14
11374,2020-05-04,47
10459,2020-05-04,57
10030,2020-05-04,17
11694,2020-05-04,26
11220,2020-05-04,96
11378,2020-05-04,24
10032,2020-05-04,73
10282,2020-05-04,0
11213,2020-05-04,43
11385,2020-05-04,112
11366,2020-05-04,5
11361,2020-05-04,16
11223,2020-05-04,91
11360,2020-05-04,5
11697,2020-05-04,1
11362,2020-05-04,14
10280,2020-05-04,3
10069,2020-05-04,3
10460,2020-05-04,70
10031,2020-05-04,80
10468,2020-05-04,123
11363,2020-05-04,6
